department,""city"",""communitytype"",""name"",""latitude"",""longitude""
01,""CHAVEYRIAT"",""Groupement paroissial"",""Saint Jean-Baptiste"",46.19724356,5.06259901
01,""CHAVORNAY"",""Groupement paroissial"",""Saint André"",45.88093042,5.71398176
01,""CHAZEY-BONS"",""Groupement paroissial"",""Notre-Dame de Cressieu"",0.00000000,0.00000000
01,""CHAZEY BONS"",""Groupement paroissial"",""Saint Maurice (Eglise de Bons)"",45.80310170,5.68095980
01,""CHAZEY-BONS"",""Groupement paroissial"",""Saint Véran (Eglise de Chazey)"",0.00000000,0.00000000
01,""CHAZEY SUR AIN"",""Groupement paroissial"",""Saint Pierre et Saint Paul"",45.89288555,5.25614752
01,""CHEIGNIEU LA BALME"",""Groupement paroissial"",""Saint Claude"",45.82609720,5.60879500
01,""Chevillard"",""Groupement paroissial"",""Saint Théodule"",46.11134855,5.57824794
01,""CHEVROUX"",""Groupement paroissial"",""Saint Martin"",46.37901390,4.94769570
01,""CHEVRY"",""Groupement paroissial"",""Saint Maurice"",46.28169453,6.04256306
01,""CHEZERY FORENS"",""Groupement paroissial"",""Notre-Dame de l'Assomption"",46.22205010,5.86699620
01,""CIVRIEUX"",""Groupement paroissial"",""Saint Denis"",45.92074164,4.88173495
01,""CIZE"",""Groupement paroissial"",""Saint Martin"",46.20432784,5.44446446
01,""CLEYZIEU"",""Groupement paroissial"",""Saint Martin"",45.90824560,5.42834200
01,""COLIGNY"",""Groupement paroissial"",""Saint Martin"",46.38397607,5.34601200
01,""COLLONGES"",""Groupement paroissial"",""Saint Théodule"",46.13909719,5.90523722
01,""COLOMIEU"",""Groupement paroissial"",""Sainte Apollinaire"",45.73230707,5.62066049
01,""CONAND"",""Groupement paroissial"",""Saint Anthelme"",45.89210441,5.47310054
01,""CONDAMINE"",""Groupement paroissial"",""Saint Pierre"",46.10935008,5.55156088
01,""CONDEISSIAT"",""Groupement paroissial"",""Saint Julien"",46.15955690,5.07903200
01,""CONFORT"",""Groupement paroissial"",""Chapelle de l'EPHAD Sr Rosalie (Maison de retraite de Confort)"",0.00000000,0.00000000
01,""CONFORT"",""Groupement paroissial"",""Notre-Dame de l'Immaculée Conception"",46.15005309,5.82379073
01,""CONFRANCON"",""Groupement paroissial"",""Saint Pierre"",46.26763721,5.06614373
01,""CONTREVOZ"",""Groupement paroissial"",""Saint Romain"",45.80588193,5.62748381
01,""CONZIEU"",""Groupement paroissial"",""Saint Sébastien"",45.72774743,5.60652495
01,""CORBONOD"",""Paroisse"",""Eglise Saint-Maurice"",45.96825160,5.82144370
01,""Corcelles"",""Groupement paroissial"",""Notre-Dame de Ferrières"",46.05744500,5.58312600
01,""CORCELLES"",""Groupement paroissial"",""Saint Martin"",46.03623783,5.57445609
01,""CORLIER"",""Groupement paroissial"",""Saint Agathe"",46.03013853,5.49773548
01,""CORMARANCHE EN BUGEY"",""Groupement paroissial"",""Saint Martin"",45.95411574,5.61275429
