Codification_instrument;Commune;Edifice;Edifice_standard;Info_edifice;Codification_edifice;Nom_departement;Code_depertament;Nom_region;Code_insee;Commune_insee;Ancienne_commune;Adresse;Denomination;Livre;Pages_pdf;Pages_livre;Pages_livre_complement;Commentaire;Log;Site_ref;Latitude;Longitude;Orgbase_manu;Orgbase_commune;Orgbase_auto;Orgbase_desc;Orgbase_edifice;Orgbase_facteurs;Orgbase_minicompo;Orgbase_edifice_standard;Orgbase_edifice_log;Orgbase_commune_insee;Reference_palissy;denomination_palissy;Edifce_palissy;protection_palissy
;Rosendaël;Église Sainte-Bernadette;;;;Nord;Sainte-Bernadette [eglise];EDIFICE_STANDARD;;;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2027904&LGE=FR&LIJST=lang;;;d;;Gonzalez, Victor (1969);IIP/11;;;;;;;
;Roubaix;Église Notre-Dame;;;;Nord;Notre-Dame [eglise];EDIFICE_STANDARD;59512;Roubaix;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2027856&LGE=FR&LIJST=lang;;;dp;;Ducroquet, Pierre-Alexandre (1855);IIIP/31;;;;;;;
;Roubaix;Église Saint-Jean-Baptiste;;;;Nord;Saint-Jean-Baptiste [eglise];EDIFICE_STANDARD;59512;Roubaix;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2027857&LGE=FR&LIJST=lang;;;d;;Cavaillé-Coll, Aristide (1891);IIP/20 (16);;;;;;;
;Roubaix;Église Saint-Martin;;;;Nord;Saint-Martin [eglise];EDIFICE_STANDARD;59512;Roubaix;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2005781&LGE=FR&LIJST=lang;;;dp;;Godefroy, René (1981);VP/54;;;;;;;
;Roubaix;Église Saint-Martin;;;;Nord;Saint-Martin [eglise];EDIFICE_STANDARD;59512;Roubaix;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2051506&LGE=FR&LIJST=lang;;;d;;Merklin, Joseph (1870 - 1980);IIIP/35;;;;;;;
;Roubaix;Église Saint-Rédempteur;;;;Nord;Saint-Rédempteur [eglise];EDIFICE_STANDARD;59512;Roubaix;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2051505&LGE=FR&LIJST=lang;;;d;;Schyven & Cie., Pierre (ca.1900);IIP/18 (16);;;;;;;
;Roubaix;Temple Réformé;;;;Nord;Réformé [temple];EDIFICE_NON_STANDARD;59512;Roubaix;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2027858&LGE=FR&LIJST=lang;;;d;;Cogez, Bernard (1986);IIP/18;;;;;;;
;Rubrouck;Église Saint-Sylvestre;;;;Nord;Saint-Sylvestre [eglise];EDIFICE_STANDARD;59516;Rubrouck;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2033578&LGE=FR&LIJST=lang;;;d;;Facteur inconnu (1807);IIIP/26;;;;;;;
;Saint-Amand-les-Eaux;Église Saint-Martin;;;;Nord;Saint-Martin [eglise];EDIFICE_STANDARD;59526;Saint-Amand-les-Eaux;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2033581&LGE=FR&LIJST=lang;;;d;;Müller, Erwin (1967);IIp/9;;;;;;;
;Saint-Jans-Cappel;Église Saint-Jean-Baptiste;;;;Nord;Saint-Jean-Baptiste [eglise];EDIFICE_STANDARD;59535;Saint-Jans-Cappel;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2033585&LGE=FR&LIJST=lang;;;d;;Bédart, Maison (1934);IIP/16;;;;;;;
;Saint-Pierre-Brouck;Église Saint-Pierre aux Liens;;;;Nord;Saint-Pierre Aux Liens [eglise];EDIFICE_STANDARD;59539;Saint-Pierre-Brouck;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2033596&LGE=FR&LIJST=lang;;;d;;Coupleux Frères (ca. 1920);IP/6;;;;;;;
;Saint-Pol-sur-Mer;Église Saint-Benoit;;;;Nord;Saint-Benoit [eglise];EDIFICE_STANDARD;;;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2033597&LGE=FR&LIJST=lang;;;d;;Gonzalez, Victor (1970);IIP/16;;;;;;;
;Saint-Saulve;Église Saint-Martin;;;;Nord;Saint-Martin [eglise];EDIFICE_STANDARD;59544;Saint-Saulve;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2033599&LGE=FR&LIJST=lang;;;d;;Merklin-Schütze, maison (1865);IIP/15 (14);;;;;;;
;Saint-Sylvestre-Cappel;Église Saint-André;;;;Nord;Saint-André [eglise];EDIFICE_STANDARD;59546;Saint-Sylvestre-Cappel;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2033600&LGE=FR&LIJST=lang;;;d;;Neuville & fils, Louis (1898);IIP/17;;;;;;;
